obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""58.91792""","=""0.00006""","=""58.917926""","=""0.000014""","=""a""","=""9.99e+06""",C+,"=""0.0000""","=""169727.6312""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",,"=""T5842""","=""L10092""",
"=""58.99114""","=""0.00006""","=""58.991135""","=""0.000014""","=""a""","=""2.62e+07""",C+,"=""0.0000""","=""169516.9948""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""T5842n,T6976""","=""L10092""",
"=""59.00109""","=""0.00006""","=""59.001081""","=""0.000014""","=""a""","=""8.5e+06""",D+,"=""0.0000""","=""169488.4193""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""T5842n,T6976""","=""L10092""",
"=""59.18306""","=""0.00006""","=""59.183031""","=""0.000014""","=""a""","=""2.06e+07""",B+,"=""0.0000""","=""168967.3526""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""",,"=""T6844""","=""L10092""",
"=""59.59200""","=""0.00040""","=""59.591998""","=""0.000014""","=""30""","=""2.80e+07""",A,"=""0.0000""","=""167807.7649""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""",,"=""T6844""","=""L6178""",
"=""59.87056""","=""0.00040""","=""59.870563""","=""0.000014""","=""20""","=""4.29e+07""",B,"=""0.0000""","=""167026.9923""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""1""",,"=""T6844n,T6976""","=""L6178""",
"=""59.88897""","=""0.00040""","=""59.889082""","=""0.000014""","=""10""","=""1.52e+07""",C,"=""0.0000""","=""166975.3424""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""",,"=""T6844n,T6976""","=""L6178""",
"=""60.00365""","=""0.00040""","=""60.003656""","=""0.000014""","=""20""","=""2.85e+07""",B+,"=""0.0000""","=""166656.5114""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",,"=""T5842""","=""L6178""",
"=""60.27263""","=""0.00040""","=""60.272630""","=""0.000015""","=""40""","=""3.95e+07""",A,"=""0.0000""","=""165912.7861""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",,"=""T6844""","=""L6178""",
"=""61.56283""","=""0.00040""","=""61.562830""","=""0.000015""","=""50""","=""4.03e+07""",B+,"=""0.0000""","=""162435.6780""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",,"=""T6844""","=""L6178""",
