obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""""","=""102.572144677""","=""0.000000007""","=""""","=""5.937e+02""",AAA,"=""0.0000000000""","=""97492.355566""","=""1s""","=""2S""","=""1/2""","=""3d""","=""2D""","=""5/2""",E2,"=""T7651""","=""""",
"=""""","=""""","=""102.572182693""","=""0.000000021""","=""""","=""5.938e+02""",AAA,"=""0.0000000000""","=""97492.319433""","=""1s""","=""2S""","=""1/2""","=""3d""","=""2D""","=""3/2""",E2,"=""T7651""","=""""",
"=""""","=""""","=""102.572285517""","=""0.000000007""","=""""","=""1.109e-06""",AAA,"=""0.0000000000""","=""97492.221701""","=""1s""","=""2S""","=""1/2""","=""3s""","=""2S""","=""1/2""",M1,"=""T7651""","=""""",
"=""102.5728""","=""0.0003""","=""102.572182505""","=""0.000000007""","=""""","=""1.6725e+08""",AAA,"=""0.0000000000""","=""97492.319611""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,"=""T7771""","=""L3545""",
"=""102.5728""","=""0.0003""","=""102.57220""","=""0.00003""","=""250000""","=""5.5751e+07""",AAA,"=""0.0000000000""","=""97492.304""","=""1s""","=""2S""","=""1/2""","=""3""","=""""","=""""",,"=""T8637""","=""L3545""",
"=""102.5728""","=""0.0003""","=""102.572296565""","=""0.000000007""","=""""","=""1.6725e+08""",AAA,"=""0.0000000000""","=""97492.211200""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,"=""T7771""","=""L3545""",
"=""121.56699""","=""0.00020""","=""121.5668237310""","=""0.0000000006""","=""""","=""6.2647e+08""",AAA,"=""0.0000000000""","=""82259.2850014""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",,"=""T7771""","=""L12020""",
"=""121.56699""","=""0.00020""","=""121.5673644608""","=""0.0000000004""","=""""","=""6.2648e+08""",AAA,"=""0.0000000000""","=""82258.9191133""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",,"=""T7771""","=""L12020""",
"=""121.56701""","=""0.00021""","=""121.56701""","=""0.00015""","=""840000""","=""4.6986e+08""",AAA,"=""0.0000000000""","=""82259.158""","=""1s""","=""2S""","=""1/2""","=""2""","=""""","=""""",,"=""T8637""","=""L12020""",
"=""121.5673123130200""","=""0.0000000000015""","=""121.5673123130200""","=""0.0000000000015""","=""""","=""2.495e-06""",AAA,"=""0.0000000000""","=""82258.9543992821""","=""1s""","=""2S""","=""1/2""","=""2s""","=""2S""","=""1/2""",M1,"=""T7651""","=""L12363""",
obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""""","=""365.51234""","=""0.00013""","=""""","=""6.7464e+01""",AAA,"=""82259.158""","=""[109610.2232]""","=""2""","=""""","=""""","=""40""","=""""","=""""",,"=""T8637""","=""""",
"=""""","=""""","=""365.55993""","=""0.00013""","=""""","=""7.6576e+01""",AAA,"=""82259.158""","=""[109606.6628]""","=""2""","=""""","=""""","=""39""","=""""","=""""",,"=""T8637""","=""""",
